"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C12","2","10n","","","","SamacSys_Parts:CAPC1005X55N","~"
"C2","1","470n","","","","SamacSys_Parts:GRM033D70J224ME01D","~"
"C3,C7,C8,C10,C11,C15,C16,C17,C18,C19,C21,C22,C32,C35","14","100n","","","","SamacSys_Parts:CAPC0603X35N","~"
"C4,C20,C31","3","10u","","","","SamacSys_Parts:CAPC2012X135N","~"
"C5,C13,C14","3","1u","","","","SamacSys_Parts:GRT155R71H472KE01D","~"
"C6,C9","2","20p","","","","SamacSys_Parts:GRM033D70J224ME01D","~"
"C23,C24,C25,C26,C27,C28,C29","7","4u7","","","","SamacSys_Parts:CAPC0603X55N","~"
"C30","1","10u","","","","SamacSys_Parts:CAPAE530X550N","~"
"C33","1","22n","","","","SamacSys_Parts:CAPC1005X55N","~"
"C34","1","100p","","","","SamacSys_Parts:CAPC0603X33N","~"
"C36,C37","2","22u","","","","SamacSys_Parts:GRM18x","~"
"D1","1","power","","","","SamacSys_Parts:LEDC1608X85N","~"
"D2","1","status","","","","SamacSys_Parts:LEDC1608X85N","~"
"D3","1","D_Small","","","","SamacSys_Parts:NSR0530HT3G","~"
"D4","1","D_Schottky","","","","SamacSys_Parts:NSR0530HT3G","~"
"F1,F2","2","1.5A","","","","SamacSys_Parts:FUSC6125X279N","~"
"F3","1","8A","","","","SamacSys_Parts:FUSC6125X279N","~"
"FB1","1","120R","","","","SamacSys_Parts:RESC3216X60N","~"
"IC1","1","ADXL375BCCZ","","","","SamacSys_Parts:CC-14-1",""
"IC2","1","I3G4250DTR","","","","SamacSys_Parts:LGA-16L_4X4X1.1MM_","http://www.st.com/content/ccc/resource/technical/document/datasheet/e4/b1/d1/62/1a/e6/44/2f/DM00168691.pdf/files/DM00168691.pdf/jcr:content/translations/en.DM00168691.pdf"
"IC3","1","TPS56A37RPAR","","","","SamacSys_Parts:TPS56A37RPAR","https://www.ti.com/lit/ds/symlink/tps56a37.pdf?ts=1708310049261&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS56A37"
"IC4","1","74HCT126D,653","","","","SamacSys_Parts:SOIC127P600X175-14N","https://componentsearchengine.com/Datasheets/1/74HCT126D,653.pdf"
"J1","1","SM06B-SRSS-TBLFSN","","","","footprints:CONN_SM06B-SRSS-TB_JST","SM06B-SRSS-TBLFSN"
"J2","1","XT30","","","","footprints:XT30","~"
"J3","1","USB_C_Receptacle_USB2.0_14P","","","","footprints:USB_C_Receptacle_Palconn_UTC16-G fixed","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4","1","SM04B-SRSS-TB","","","","footprints:CONN_SM04B-SRSS-TB_JST","SM04B-SRSS-TB"
"L1","1","W25Q128JVSIQ_TR","","","","SamacSys_Parts:SOIC127P780X195-8N","http://www.winbond.com/resource-files/w25q128jv%20spi%20revc%2011162016.pdf"
"L2","1","1u","","","","SamacSys_Parts:INDC2012X105N","~"
"L3","1","3.9u","","","","SamacSys_Parts:INDPM110100X400N","~"
"M1","1","Servo_W","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://forums.parallax.com/uploads/attachments/46831/74481.png"
"M2","1","Servo_S","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://forums.parallax.com/uploads/attachments/46831/74481.png"
"M3","1","Servo_E","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://forums.parallax.com/uploads/attachments/46831/74481.png"
"M4","1","Servo_N","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://forums.parallax.com/uploads/attachments/46831/74481.png"
"PS1","1","TPSM82901SISR","","","","SamacSys_Parts:TPSM82901SISR","https://www.ti.com/lit/ds/symlink/tpsm82901.pdf?ts=1677468864408&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPSM82901%253FkeyMatch%253DTPSM82901SISR%2526tisearch%253Dsearch-everything%2526usecase%253DOPN"
"R1,R4,R13","3","10k","","","","SamacSys_Parts:RESC1608X55N","~"
"R2,R3,R8","3","56","","","","SamacSys_Parts:ERA2V__0402_","~"
"R5","1","40k","","","","SamacSys_Parts:RESC2012X50N","~"
"R6,R7","2","5k1","","","","SamacSys_Parts:RESC1608X55N","~"
"R9","1","120","","","","SamacSys_Parts:RESC3216X60N","~"
"R10","1","113k","","","","SamacSys_Parts:ERA3AEB101V","~"
"R11","1","24k9","","","","SamacSys_Parts:RESC1608X55N","~"
"R12","1","52.3k","","","","SamacSys_Parts:ERA3AEB101V","~"
"R14","1","82k5","","","","SamacSys_Parts:ERJP06D1000V","~"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D2.0mm","~"
"U1","1","STM32U575CGUx","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32u575cg.pdf"
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U3","1","SN65HVD232","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf"
"Y1","1","16MHz","","","","SamacSys_Parts:SG210STF160000ML5","~"
